Interest Group,Year,State,Candidate,Election Outcome,Election Type,Party,Incumbent,Office,Contribution
HUMAN RIGHTS CAMPAIGN,2017,VA,"HERRING, MARK RANKIN",Won-General,Standard,DEMOCRATIC,Incumbent,ATTORNEY GENERAL,10329.05
HUMAN RIGHTS CAMPAIGN,2019,VA,"GOODITIS, WENDY W",Won-General,Standard,DEMOCRATIC,Incumbent,HOUSE DISTRICT 010,10181.20
HUMAN RIGHTS CAMPAIGN,2012,RI,"CICILLINE, DAVID N",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT RI 001,10078.39
HUMAN RIGHTS CAMPAIGN,2014,MI,"PETERS SR, GARY CHARLES",Won-General,Standard,DEMOCRATIC,Open,US SENATE DISTRICT MI SW-CLASS II,10031.00
HUMAN RIGHTS CAMPAIGN,2019,VA,"SIMONDS, SHELLY ANNE",Won-General,Standard,DEMOCRATIC,Challenger,HOUSE DISTRICT 094,10030.98
HUMAN RIGHTS CAMPAIGN,2008,PA,"KAUFMAN, FERN B",Lost-General,Standard,DEMOCRATIC,Challenger,HOUSE DISTRICT 026,10000.00
HUMAN RIGHTS CAMPAIGN,2008,OH,"BUDISH, ARMOND",Won-General,Standard,DEMOCRATIC,Incumbent,HOUSE DISTRICT 008,10000.00
HUMAN RIGHTS CAMPAIGN,2008,TX,"MALDONADO, DIANA MARIE",Won-General,Standard,DEMOCRATIC,Open,HOUSE DISTRICT 052,10000.00
HUMAN RIGHTS CAMPAIGN,2008,TX,"TURNER, CHRIS",Won-General,Standard,DEMOCRATIC,Challenger,HOUSE DISTRICT 096,10000.00
HUMAN RIGHTS CAMPAIGN,2008,TX,"VO, HUBERT",Won-General,Standard,DEMOCRATIC,Incumbent,HOUSE DISTRICT 149,10000.00
HUMAN RIGHTS CAMPAIGN,2012,CA,"BERA, AMI",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT CA 007,10000.00
HUMAN RIGHTS CAMPAIGN,2012,CA,"GARAMENDI, JOHN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 003,10000.00
HUMAN RIGHTS CAMPAIGN,2012,FL,"ROS-LEHTINEN, ILEANA",Won-General,Standard,REPUBLICAN,Incumbent,US HOUSE DISTRICT FL 027,10000.00
HUMAN RIGHTS CAMPAIGN,2012,CA,"LOWENTHAL, ALAN",Won-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT CA 047,10000.00
HUMAN RIGHTS CAMPAIGN,2012,CA,"BROWNLEY, JULIA",Won-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT CA 026,10000.00
HUMAN RIGHTS CAMPAIGN,2012,FL,"FITZGERALD, KEITH",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT FL 016,10000.00
HUMAN RIGHTS CAMPAIGN,2012,IL,"BUSTOS, CHERI CALLAHAN",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT IL 017,10000.00
HUMAN RIGHTS CAMPAIGN,2012,NJ,"ADLER, SHELLEY",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT NJ 003,10000.00
HUMAN RIGHTS CAMPAIGN,2012,NY,"SCHREIBMAN, JULIAN",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT NY 019,10000.00
HUMAN RIGHTS CAMPAIGN,2012,NY,"BISHOP, TIM",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 001,10000.00
HUMAN RIGHTS CAMPAIGN,2012,PA,"BOOCKVAR, KATHRYN (KATHY)",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT PA 008,10000.00
HUMAN RIGHTS CAMPAIGN,2012,CA,"MCNERNEY, JERRY",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 009,10000.00
HUMAN RIGHTS CAMPAIGN,2012,IA,"LOEBSACK, DAVID WAYNE (DAVE)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IA 002,10000.00
HUMAN RIGHTS CAMPAIGN,2012,IA,"BOSWELL, LEONARD L",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IA 003,10000.00
HUMAN RIGHTS CAMPAIGN,2012,MN,"WALZ, TIMOTHY J (TIM)",Won-General,Standard,DEMOCRATIC-FARMER-LABOR,Incumbent,US HOUSE DISTRICT MN 001,10000.00
HUMAN RIGHTS CAMPAIGN,2012,NH,"SHEA-PORTER, CAROL",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT NH 001,10000.00
HUMAN RIGHTS CAMPAIGN,2012,NY,"SLAUGHTER, LOUISE M",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 025,10000.00
HUMAN RIGHTS CAMPAIGN,2012,NY,"MAFFEI, DANIEL B",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT NY 024,10000.00
HUMAN RIGHTS CAMPAIGN,2012,OH,"SUTTON, BETTY",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT OH 016,10000.00
HUMAN RIGHTS CAMPAIGN,2012,AZ,"KIRKPATRICK, ANN LEILA",Won-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT AZ 001,10000.00
HUMAN RIGHTS CAMPAIGN,2012,CA,"CAPPS, LOIS",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 024,10000.00
HUMAN RIGHTS CAMPAIGN,2012,IL,"BIGGERT, JUDY",Lost-General,Standard,REPUBLICAN,Incumbent,US HOUSE DISTRICT IL 011,10000.00
HUMAN RIGHTS CAMPAIGN,2012,VA,"CONNOLLY, GERALD E (GERRY)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT VA 011,10000.00
HUMAN RIGHTS CAMPAIGN,2010,MA,"FRANK, BARNEY",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MA 004,10000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"MCNERNEY, JERRY",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 011,10000.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"ARCURI, MICHAEL A",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 024,10000.00
HUMAN RIGHTS CAMPAIGN,2010,AZ,"KIRKPATRICK, ANN LEILA",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT AZ 001,10000.00
HUMAN RIGHTS CAMPAIGN,2010,MI,"PETERS SR, GARY CHARLES",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MI 009,10000.00
HUMAN RIGHTS CAMPAIGN,2014,IL,"CALLIS, ANN ELIZABETH",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT IL 013,10000.00
HUMAN RIGHTS CAMPAIGN,2014,IL,"BUSTOS, CHERI CALLAHAN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IL 017,10000.00
HUMAN RIGHTS CAMPAIGN,2014,MD,"HOYER, STENY",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MD 005,10000.00
HUMAN RIGHTS CAMPAIGN,2014,NM,"LARA, ROXANNE (ROCKY)",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT NM 002,10000.00
HUMAN RIGHTS CAMPAIGN,2014,IA,"MURPHY, PATRICK JOSEPH (PAT)",Lost-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT IA 001,10000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"BERA, AMI",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 007,10000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"PELOSI, NANCY",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 012,10000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"RENTERIA, AMANDA",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT CA 021,10000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"CAPPS, LOIS",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 024,10000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"BROWNLEY, JULIA",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 026,10000.00
HUMAN RIGHTS CAMPAIGN,2014,NJ,"BELGARD, AIMEE",Lost-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT NJ 003,10000.00
HUMAN RIGHTS CAMPAIGN,2014,ME,"CAIN, EMILY ANN",Lost-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT ME 002,10000.00
HUMAN RIGHTS CAMPAIGN,2014,ME,"COLLINS, SUSAN M",Won-General,Standard,REPUBLICAN,Incumbent,US SENATE DISTRICT ME SW-CLASS II,10000.00
HUMAN RIGHTS CAMPAIGN,2014,MI,"BYRNES, PAMELA G",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT MI 007,10000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"BISHOP, TIM",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 001,10000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"ELDRIDGE, SEAN S",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT NY 019,10000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"WOOLF, AARON G",Lost-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT NY 021,10000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"ROBERTSON, MARTHA",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT NY 023,10000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"MAFFEI, DANIEL B",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 024,10000.00
HUMAN RIGHTS CAMPAIGN,2014,VA,"WARNER, MARK",Won-General,Standard,DEMOCRATIC,Incumbent,US SENATE DISTRICT VA SW-CLASS II,10000.00
HUMAN RIGHTS CAMPAIGN,2014,AZ,"KIRKPATRICK, ANN LEILA",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT AZ 001,10000.00
HUMAN RIGHTS CAMPAIGN,2014,AZ,"BARBER, RON",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT AZ 002,10000.00
HUMAN RIGHTS CAMPAIGN,2014,AZ,"GALLEGO, RUBEN",Won-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT AZ 007,10000.00
HUMAN RIGHTS CAMPAIGN,2014,WA,"DELBENE, SUZAN K",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT WA 001,10000.00
HUMAN RIGHTS CAMPAIGN,2014,MN,"OBERMUELLER, MICHAEL",Lost-General,Standard,DEMOCRATIC-FARMER-LABOR,Challenger,US HOUSE DISTRICT MN 002,10000.00
HUMAN RIGHTS CAMPAIGN,2014,MN,"NOLAN, RICHARD MICHAEL (RICK)",Won-General,Standard,DEMOCRATIC-FARMER-LABOR,Incumbent,US HOUSE DISTRICT MN 008,10000.00
HUMAN RIGHTS CAMPAIGN,2014,MN,"FRANKEN, ALAN (AL)",Won-General,Standard,DEMOCRATIC-FARMER-LABOR,Incumbent,US SENATE DISTRICT MN SW-CLASS II,10000.00
HUMAN RIGHTS CAMPAIGN,2014,FL,"GRAHAM, GWEN",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT FL 002,10000.00
HUMAN RIGHTS CAMPAIGN,2014,FL,"MURPHY, PATRICK E",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT FL 018,10000.00
HUMAN RIGHTS CAMPAIGN,2014,FL,"GARCIA, JOSE ANTONIO (JOE)",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT FL 026,10000.00
HUMAN RIGHTS CAMPAIGN,2014,FL,"ROS-LEHTINEN, ILEANA",Default Winner-General,Standard,REPUBLICAN,Incumbent,US HOUSE DISTRICT FL 027,10000.00
HUMAN RIGHTS CAMPAIGN,2014,NH,"SHEA-PORTER, CAROL",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NH 001,10000.00
HUMAN RIGHTS CAMPAIGN,2014,NH,"KUSTER, ANN MCLANE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NH 002,10000.00
HUMAN RIGHTS CAMPAIGN,2014,CT,"ESTY, ELIZABETH",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CT 005,10000.00
HUMAN RIGHTS CAMPAIGN,2016,IL,"KIRK, MARK STEVEN",Lost-General,Standard,REPUBLICAN,Incumbent,US SENATE DISTRICT IL SW-CLASS III,10000.00
HUMAN RIGHTS CAMPAIGN,2016,IL,"DOLD JR, ROBERT JAMES",Lost-General,Standard,REPUBLICAN,Incumbent,US HOUSE DISTRICT IL 010,10000.00
HUMAN RIGHTS CAMPAIGN,2016,MD,"HOYER, STENY",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MD 005,10000.00
HUMAN RIGHTS CAMPAIGN,2016,MT,"JUNEAU, DENISE",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT MT 001,10000.00
HUMAN RIGHTS CAMPAIGN,2016,IA,"VERNON, MONICA WOLF",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT IA 001,10000.00
HUMAN RIGHTS CAMPAIGN,2016,MO,"KANDER, JASON",Lost-General,Standard,DEMOCRATIC,Challenger,US SENATE DISTRICT MO SW-CLASS III,10000.00
HUMAN RIGHTS CAMPAIGN,2016,CA,"PETERS, SCOTT",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 052,10000.00
HUMAN RIGHTS CAMPAIGN,2016,NJ,"GOTTHEIMER, JOSHUA S",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT NJ 005,10000.00
HUMAN RIGHTS CAMPAIGN,2016,ME,"CAIN, EMILY ANN",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT ME 002,10000.00
HUMAN RIGHTS CAMPAIGN,2016,MI,"JOHNSON, LON",Lost-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT MI 001,10000.00
HUMAN RIGHTS CAMPAIGN,2016,CO,"CARROLL, MORGAN",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT CO 006,10000.00
HUMAN RIGHTS CAMPAIGN,2016,MN,"CRAIG, ANGIE",Lost-General,Standard,DEMOCRATIC-FARMER-LABOR,Open,US HOUSE DISTRICT MN 002,10000.00
HUMAN RIGHTS CAMPAIGN,2016,MN,"NOLAN, RICHARD MICHAEL (RICK)",Won-General,Standard,DEMOCRATIC-FARMER-LABOR,Incumbent,US HOUSE DISTRICT MN 008,10000.00
HUMAN RIGHTS CAMPAIGN,2016,WI,"NELSON, TOM",Lost-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT WI 008,10000.00
HUMAN RIGHTS CAMPAIGN,2016,NY,"MALONEY, SEAN PATRICK",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 018,10000.00
HUMAN RIGHTS CAMPAIGN,2016,AZ,"SINEMA, KYRSTEN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT AZ 009,10000.00
HUMAN RIGHTS CAMPAIGN,2016,AZ,"OHALLERAN, TOM",Won-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT AZ 001,10000.00
HUMAN RIGHTS CAMPAIGN,2012,NH,"KUSTER, ANN MCLANE",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT NH 002,9999.00
HUMAN RIGHTS CAMPAIGN,2012,FL,"DEMINGS, VALDEZ (VAL)",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT FL 010,9999.00
HUMAN RIGHTS CAMPAIGN,2012,AZ,"CARMONA, RICHARD HENRY",Lost-General,Standard,DEMOCRATIC,Open,US SENATE DISTRICT AZ SW-CLASS I,9999.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"RUIZ, RAUL",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 036,9999.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"PETERS, SCOTT",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 052,9999.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"RECCHIA JR, DOMENIC M",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT NY 011,9999.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"MALONEY, SEAN PATRICK",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 018,9997.00
HUMAN RIGHTS CAMPAIGN,2012,WI,"BALDWIN, TAMMY SUZANNE GREEN",Won-General,Standard,DEMOCRATIC,Open,US SENATE DISTRICT WI SW-CLASS I,9847.00
HUMAN RIGHTS CAMPAIGN,2012,NV,"BERKLEY, ROCHELLE (SHELLEY)",Lost-General,Standard,DEMOCRATIC,Challenger,US SENATE DISTRICT NV SW-CLASS I,9818.00
HUMAN RIGHTS CAMPAIGN,2012,VA,"KAINE, TIMOTHY M (TIM)",Won-General,Standard,DEMOCRATIC,Open,US SENATE DISTRICT VA SW-CLASS I,9804.00
HUMAN RIGHTS CAMPAIGN,2014,AZ,"SINEMA, KYRSTEN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT AZ 009,9757.00
HUMAN RIGHTS CAMPAIGN,2010,NV,"TITUS, DINA",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NV 003,9542.58
HUMAN RIGHTS CAMPAIGN,2014,NV,"JONES, JUSTIN",Lost-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 009,9500.19
HUMAN RIGHTS CAMPAIGN,2008,NY,"DUANE, THOMAS K",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 029,9500.00
HUMAN RIGHTS CAMPAIGN,2008,NY,"ADDABBO JR, JOSEPH P",Won-General,Standard,DEMOCRATIC,Challenger,SENATE DISTRICT 015,9500.00
HUMAN RIGHTS CAMPAIGN,2008,NY,"FOLEY, BRIAN X",Won-General,Standard,DEMOCRATIC,Challenger,SENATE DISTRICT 003,9500.00
HUMAN RIGHTS CAMPAIGN,2012,CA,"FEINSTEIN, DIANNE",Won-General,Standard,DEMOCRATIC,Incumbent,US SENATE DISTRICT CA SW-CLASS I,9500.00
HUMAN RIGHTS CAMPAIGN,2010,IA,"BOSWELL, LEONARD L",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IA 003,9500.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"BISHOP, TIM",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 001,9500.00
HUMAN RIGHTS CAMPAIGN,2010,FL,"KLEIN, RON",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT FL 022,9500.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"HALL, JOHN J",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 019,9500.00
HUMAN RIGHTS CAMPAIGN,2010,NM,"HEINRICH, MARTIN TREVOR",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NM 001,9500.00
HUMAN RIGHTS CAMPAIGN,2010,NJ,"ADLER, JOHN H",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NJ 003,9500.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"MCMAHON, MICHAEL E",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 013,9500.00
HUMAN RIGHTS CAMPAIGN,2010,CT,"BLUMENTHAL, RICHARD A",Won-General,Standard,DEMOCRATIC,Open,US SENATE DISTRICT CT SW-CLASS III,9500.00
HUMAN RIGHTS CAMPAIGN,2010,WI,"LASSA, JULIE M",Lost-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT WI 007,9500.00
HUMAN RIGHTS CAMPAIGN,2014,NV,"BILBRAY, ERIN K",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT NV 003,9499.00
HUMAN RIGHTS CAMPAIGN,2018,MN,"CRAIG, ANGELA DAWN",Won-General,Standard,DEMOCRATIC-FARMER-LABOR,Challenger,US HOUSE DISTRICT MN 002,9467.48
HUMAN RIGHTS CAMPAIGN,2018,AZ,"OHALLERAN, TOM",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT AZ 001,9466.98
HUMAN RIGHTS CAMPAIGN,2014,IA,"BRALEY, BRUCE L",Lost-General,Standard,DEMOCRATIC,Open,US SENATE DISTRICT IA SW-CLASS II,9448.00
HUMAN RIGHTS CAMPAIGN,2008,NY,"DOLLINGER, RICHARD A",Lost-General,Standard,DEMOCRATIC,Challenger,SENATE DISTRICT 056,9400.00
HUMAN RIGHTS CAMPAIGN,2008,NY,"GENNARO, JAMES F",Lost-General,Standard,DEMOCRATIC,Challenger,SENATE DISTRICT 011,9400.00
HUMAN RIGHTS CAMPAIGN,2008,NY,"MCELROY, KRISTEN M",Lost-General,Standard,DEMOCRATIC,Challenger,SENATE DISTRICT 006,9400.00
HUMAN RIGHTS CAMPAIGN,2008,NY,"MESI, JOE",Lost-General,Standard,DEMOCRATIC,Open,SENATE DISTRICT 061,9400.00
HUMAN RIGHTS CAMPAIGN,2008,NY,"NACHBAR, DAVID R",Lost-General,Standard,DEMOCRATIC,Challenger,SENATE DISTRICT 055,9400.00
HUMAN RIGHTS CAMPAIGN,2008,NY,"JOHNSON, CRAIG M",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 007,9400.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"POUGNET, STEVE",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT CA 045,9400.00
