"","Interest.Group","Year","Total_Contributions","Party.Committee","Party_Committee_Contribution","Total_Party_Committee_Contribution_by_Year","Percent_Donated_to_Party_Committees"
"81","CALIFORNIANS FOR FAIRNESS",2000,5000,"VERMONT SENATE VICTORY",2000,5000,1
"82","CALIFORNIANS FOR FAIRNESS",2000,5000,"VERMONT DEMOCRATIC HOUSE CAUCUS",1000,5000,1
"83","CALIFORNIANS FOR PROGRESS - NO ON 17 FKA CALIFORNIANS AGAINST ELIMINATING BASIC RIGHTS NO ON PROPOSITION 8",2008,661500,"0",0,0,0
"84","CAMPAIGN FOR ALL DC FAMILIES",2012,10000,"0",0,0,0
"85","CAPITAL REGION STONEWALL DEMOCRATS",2018,2000,"0",0,0,0
"86","CAPITAL REGION STONEWALL DEMOCRATS",2017,500,"0",0,0,0
"87","CAPITAL REGION STONEWALL DEMOCRATS",2016,4250,"0",0,0,0
"88","CAPITAL REGION STONEWALL DEMOCRATS",2015,100,"PENNSYLVANIA DEMOCRATIC PARTY",100,100,1
"89","CAPITAL REGION STONEWALL DEMOCRATS",2014,250,"0",0,0,0
"90","CAPITAL REGION STONEWALL DEMOCRATS",2013,200,"0",0,0,0
"91","CAPITAL REGION STONEWALL DEMOCRATS",2012,1835,"0",0,0,0
"92","CAPITAL REGION STONEWALL DEMOCRATS",2008,750,"0",0,0,0
"93","CAPITAL REGION STONEWALL DEMOCRATS",2006,300,"0",0,0,0
"94","CENTER ADVOCACY PROJECT",2008,506294.37,"0",0,0,0
"95","CENTER ADVOCATES",2010,250,"0",0,0,0
"96","CENTER ADVOCATES",2009,1000,"0",0,0,0
"97","CENTER ADVOCATES",2008,4500,"0",0,0,0
"98","CENTER ADVOCATES",2007,2000,"ASSEMBLY DEMOCRATIC CAMPAIGN CMTE OF WISCONSIN",2000,2000,1
"99","CENTER ADVOCATES",2006,3057.25,"0",0,0,0
"100","CENTRAL MAINE GAY MENS SUPPORT GROUP",2005,190,"0",0,0,0
"101","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2008,500,"0",0,0,0
"102","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2007,470,"OKLAHOMA DEMOCRATIC HOUSE CMTE",250,470,1
"103","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2007,470,"OKLAHOMA DEMOCRATIC PARTY",220,470,1
"104","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2006,1600,"OKLAHOMA DEMOCRATIC HOUSE CMTE",1000,1250,0.78125
"105","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2006,1600,"OKLAHOMA DEMOCRATIC PARTY",250,1250,0.78125
"106","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2003,500,"OKLAHOMA DEMOCRATIC PARTY",500,500,1
"107","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2002,500,"OKLAHOMA DEMOCRATIC PARTY",500,500,1
"108","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2018,1500,"0",0,0,0
"109","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2014,1000,"0",0,0,0
"110","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2012,6390,"0",0,0,0
"111","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2010,4320,"0",0,0,0
"112","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2008,10750,"0",0,0,0
"113","CHARLESTON SOCIAL CLUB",2006,1172.25,"0",0,0,0
"114","CHRISTIANS FOR EQUALITY",2006,200,"0",0,0,0
"115","CIMARRON EQUALITY OKLAHOMA",2012,5000,"OKLAHOMA DEMOCRATIC PARTY",5000,5000,1
"116","CIMARRON EQUALITY OKLAHOMA",2004,6800,"0",0,0,0
"117","CITIZENS FOR FAIRNESS",2005,250,"0",0,0,0
"118","CIVIL MARRIAGE COLLABORATIVE",2012,125000,"0",0,0,0
"119","CLEVELAND STONEWALL DEMOCRATS",2018,5400,"0",0,0,0
"120","CLEVELAND STONEWALL DEMOCRATS",2016,3500,"OHIO DEMOCRATIC PARTY",1000,1000,0.285714285714286
"121","CLEVELAND STONEWALL DEMOCRATS",2014,5250,"0",0,0,0
"122","CLEVELAND STONEWALL DEMOCRATS",2012,4850,"0",0,0,0
"123","CLEVELAND STONEWALL DEMOCRATS",2011,500,"0",0,0,0
"124","CLEVELAND STONEWALL DEMOCRATS",2010,8000,"OHIO DEMOCRATIC PARTY",1500,1500,0.1875
"125","CLEVELAND STONEWALL DEMOCRATS",2009,200,"OHIO DEMOCRATIC PARTY",200,200,1
"126","CLEVELAND STONEWALL DEMOCRATS",2008,2150,"OHIO HOUSE OF REPRESENTATIVES DEMOCRATIC CAUCUS",1000,1100,0.511627906976744
"127","CLEVELAND STONEWALL DEMOCRATS",2008,2150,"OHIO DEMOCRATIC PARTY",100,1100,0.511627906976744
"128","CLEVELAND STONEWALL DEMOCRATS",2006,1500,"0",0,0,0
"129","CLEVELAND STONEWALL DEMOCRATS",2004,4500,"OHIO SENATE DEMOCRATIC CAUCUS",600,600,0.133333333333333
"130","CLEVELAND STONEWALL DEMOCRATS",2002,250,"0",0,0,0
"131","CMTE FOR FAIRNESS",2004,8522.5,"0",0,0,0
"132","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2018,4200,"0",0,0,0
"133","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2016,1800,"KENTUCKY HOUSE DEMOCRATIC CAUCUS",1000,1000,0.555555555555556
"134","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2015,2000,"0",0,0,0
"135","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2014,2900,"KENTUCKY HOUSE DEMOCRATIC CAUCUS",1000,1000,0.344827586206897
"136","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2012,800,"KENTUCKY SENATE DEMOCRATIC CAUCUS",500,500,0.625
"137","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2011,250,"0",0,0,0
"138","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2010,625,"0",0,0,0
"139","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2007,1000,"0",0,0,0
"140","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2006,1000,"0",0,0,0
"141","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2004,2750,"0",0,0,0
"142","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2002,1000,"0",0,0,0
"143","COALITION FOR ADOPTION RIGHTS EQUALITY",2004,3000,"0",0,0,0
"144","COLORADO GAY & LESBIAN ASSOCIATION",2006,500,"0",0,0,0
"145","COLORADO STONEWALL DEMOCRATS",2006,1000,"0",0,0,0
"146","COMM FOR FAIRNESS & INDIVIDUAL RIGHTS",1996,700,"0",0,0,0
"147","COMM FOR FAIRNESS & INDIVIDUAL RIGHTS",1994,500,"0",0,0,0
"148","COMMONWEALTH COALITION",2006,132171.44,"0",0,0,0
"149","CSRA RAINBOW ALLIANCE",2006,302,"0",0,0,0
"150","DE RIGHT TO MARRY PAC",2012,900,"0",0,0,0
"151","DELAWARE LIBERTY FUND",2012,1200,"0",0,0,0
"152","DELAWARE LIBERTY FUND",2010,2100,"0",0,0,0
"153","DELAWARE LIBERTY FUND",2008,2550,"0",0,0,0
"154","DELAWARE LIBERTY FUND",2006,1950,"0",0,0,0
"155","DELAWARE LIBERTY FUND",2004,7650,"0",0,0,0
"156","DELAWARE LIBERTY FUND",2002,6650,"0",0,0,0
"157","DELAWARE LIBERTY FUND",2000,4600,"0",0,0,0
"158","DELAWARE LIBERTY FUNDS",2006,100,"0",0,0,0
"159","DELAWARE LIBERTY FUNDS",2004,400,"0",0,0,0
"160","DELAWARE RIGHT TO MARRY PAC",2012,900,"0",0,0,0
"161","DELAWARE STONEWALL DEMOCRATS",2018,11450,"0",0,0,0
"162","DELAWARE STONEWALL DEMOCRATS",2017,600,"0",0,0,0
"163","DELAWARE STONEWALL DEMOCRATS",2016,6600,"0",0,0,0
"164","DELAWARE STONEWALL DEMOCRATS",2014,10950,"0",0,0,0
"165","DELAWARE STONEWALL DEMOCRATS",2012,9000,"0",0,0,0
"166","DELAWARE STONEWALL DEMOCRATS",2010,12300,"0",0,0,0
"167","DELAWARE STONEWALL DEMOCRATS",2008,5600,"0",0,0,0
"168","DELAWARE STONEWALL DEMOCRATS",2007,100,"DELAWARE DEMOCRATIC PARTY",100,100,1
"169","DELAWARE STONEWALL DEMOCRATS",2006,3700,"0",0,0,0
"170","DELAWARE STONEWALL DEMOCRATS",2005,125,"DELAWARE DEMOCRATIC PARTY",125,125,1
"171","DELAWARE STONEWALL DEMOCRATS",2004,11025,"DELAWARE DEMOCRATIC PARTY",3125,3125,0.283446712018141
"172","DELAWARE STONEWALL DEMOCRATS",2003,1000,"DELAWARE DEMOCRATIC PARTY",1000,1000,1
"173","DESERT STONEWALL DEMOCRATS",2018,9050,"0",0,0,0
"174","DESERT STONEWALL DEMOCRATS",2016,5215.32,"0",0,0,0
"175","DESERT STONEWALL DEMOCRATS",2014,2531.31,"0",0,0,0
"176","DESERT STONEWALL DEMOCRATS",2012,2750,"0",0,0,0
"177","DESERT STONEWALL DEMOCRATS",2010,100,"0",0,0,0
"178","DESERT STONEWALL DEMOCRATS",2006,200,"0",0,0,0
"179","DESERT STONEWALL DEMOCRATS",2004,100,"0",0,0,0
"180","DIGNITY/SAN ANTONIO",2005,25,"0",0,0,0
"181","EAST END GAY ORG/EEGO",2000,500,"0",0,0,0
"182","EL PASO COUNTY STONEWALL DEMOCRATS",2008,75,"0",0,0,0
"183","EL PASO COUNTY STONEWALL DEMOCRATS",2006,150,"0",0,0,0
"184","EL PASO COUNTY STONEWALL DEMS",2006,75,"0",0,0,0
"185","EL PASO COUNTY STONEWALL DEMS",2002,20,"COLORADO DEMOCRATIC PARTY",20,20,1
"186","EMPIRE STATE PRIDE AGENDA",2018,5000,"0",0,0,0
"187","EMPIRE STATE PRIDE AGENDA",2017,1100,"0",0,0,0
"188","EMPIRE STATE PRIDE AGENDA",2016,10700,"0",0,0,0
"189","EMPIRE STATE PRIDE AGENDA",2015,12250,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",4000,6500,0.530612244897959
"190","EMPIRE STATE PRIDE AGENDA",2015,12250,"NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE",2500,6500,0.530612244897959
"191","EMPIRE STATE PRIDE AGENDA",2014,170500,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",22000,24500,0.143695014662757
"192","EMPIRE STATE PRIDE AGENDA",2014,170500,"NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE",2500,24500,0.143695014662757
"193","EMPIRE STATE PRIDE AGENDA",2013,16175,"NEW YORK STATE DEMOCRATIC PARTY",11000,11000,0.680061823802164
"194","EMPIRE STATE PRIDE AGENDA",2012,179550,"NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE",35000,56500,0.314675577833473
"195","EMPIRE STATE PRIDE AGENDA",2012,179550,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",21500,56500,0.314675577833473
"196","EMPIRE STATE PRIDE AGENDA",2011,20000,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",20000,20000,1
"197","EMPIRE STATE PRIDE AGENDA",2010,242300,"NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE",25000,25000,0.103177878662815
"198","EMPIRE STATE PRIDE AGENDA",2008,290600,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",94200,176700,0.608052305574673
"199","EMPIRE STATE PRIDE AGENDA",2008,290600,"NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE",51500,176700,0.608052305574673
"200","EMPIRE STATE PRIDE AGENDA",2008,290600,"NEW YORK STATE DEMOCRATIC PARTY",31000,176700,0.608052305574673
"201","EMPIRE STATE PRIDE AGENDA",2007,7500,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",2500,2500,0.333333333333333
"202","EMPIRE STATE PRIDE AGENDA",2006,180900,"0",0,0,0
"203","EMPIRE STATE PRIDE AGENDA",2004,28500,"0",0,0,0
"204","EMPIRE STATE PRIDE AGENDA",2003,16700,"NEW YORK STATE DEMOCRATIC PARTY",5100,7700,0.461077844311377
"205","EMPIRE STATE PRIDE AGENDA",2003,16700,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",2600,7700,0.461077844311377
"206","EMPIRE STATE PRIDE AGENDA",2002,29425,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",2500,3500,0.118946474086661
"207","EMPIRE STATE PRIDE AGENDA",2002,29425,"NEW YORK STATE DEMOCRATIC PARTY",1000,3500,0.118946474086661
"208","EMPIRE STATE PRIDE AGENDA",2001,18000,"NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE",10000,10000,0.555555555555556
"209","EMPIRE STATE PRIDE AGENDA",2000,45800,"NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE",8500,10050,0.21943231441048
"210","EMPIRE STATE PRIDE AGENDA",2000,45800,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",1550,10050,0.21943231441048
"211","EMPIRE STATE PRIDE AGENDA",1999,5500,"NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE",5000,5000,0.909090909090909
"212","EMPIRE STATE PRIDE AGENDA",1998,8454,"NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE",7500,7500,0.887154009936125
"213","EMPIRE STATE PRIDE AGENDA",1997,2350,"NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE",1250,2350,1
"214","EMPIRE STATE PRIDE AGENDA",1997,2350,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",1100,2350,1
"215","EQUAL RIGHTS ACTION",2011,400,"COLORADO DEMOCRATIC PARTY",400,400,1
"216","EQUAL RIGHTS ACTION",2010,1650,"DEMOCRATIC SENATE CAMPAIGN FUND OF COLORADO",750,1500,0.909090909090909
"217","EQUAL RIGHTS ACTION",2010,1650,"COLORADO DEMOCRATIC HOUSE CAUCUS",750,1500,0.909090909090909
"218","EQUAL RIGHTS ACTION",2008,2250,"0",0,0,0
"219","EQUAL RIGHTS WASHINGTON",2018,515.05,"0",0,0,0
"220","EQUAL RIGHTS WASHINGTON",2012,84073.76,"0",0,0,0
"221","EQUAL RIGHTS WASHINGTON",2010,5925,"0",0,0,0
"222","EQUAL RIGHTS WASHINGTON",2009,25678.32,"0",0,0,0
"223","EQUAL RIGHTS WASHINGTON",2008,5689.01,"HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",250,500,0.0878887539308245
"224","EQUAL RIGHTS WASHINGTON",2008,5689.01,"SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",250,500,0.0878887539308245
"225","EQUAL RIGHTS WASHINGTON",2007,150,"HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",75,150,1
"226","EQUAL RIGHTS WASHINGTON",2007,150,"SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",75,150,1
"227","EQUAL RIGHTS WASHINGTON",2006,20800,"HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",700,1700,0.0817307692307692
"228","EQUAL RIGHTS WASHINGTON",2006,20800,"SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",700,1700,0.0817307692307692
"229","EQUAL RIGHTS WASHINGTON",2006,20800,"WASHINGTON STATE DEMOCRATIC PARTY",300,1700,0.0817307692307692
"230","EQUAL RIGHTS WASHINGTON",2004,1775,"SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",75,75,0.0422535211267606
"231","EQUALITY ARIZONA",2010,1660,"ARIZONA DEMOCRATIC PARTY",750,750,0.451807228915663
"232","EQUALITY CALIFORNIA",2019,2500,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",2500,2500,1
"233","EQUALITY CALIFORNIA",2018,64750,"0",0,0,0
"234","EQUALITY CALIFORNIA",2017,7400,"0",0,0,0
"235","EQUALITY CALIFORNIA",2016,141600,"0",0,0,0
"236","EQUALITY CALIFORNIA",2014,19850,"0",0,0,0
"237","EQUALITY CALIFORNIA",2012,22850.55,"0",0,0,0
"238","EQUALITY CALIFORNIA",2010,27738.82,"0",0,0,0
"239","EQUALITY CALIFORNIA",2009,13962.24,"0",0,0,0
"240","EQUALITY CALIFORNIA",2008,11449174.72,"0",0,0,0
"241","EQUALITY CALIFORNIA",2006,17629.98,"0",0,0,0
"242","EQUALITY CALIFORNIA",2004,1000,"0",0,0,0
"243","EQUALITY FAIRFAX",2006,400,"0",0,0,0
"244","EQUALITY FEDERATION",2018,500,"0",0,0,0
"245","EQUALITY FEDERATION",2012,500,"0",0,0,0
"246","EQUALITY FEDERATION",2008,10208.86,"0",0,0,0
"247","EQUALITY FLORIDA ACTION NETWORK",2008,102301.02,"0",0,0,0
"248","EQUALITY FOR ALL",2012,100,"0",0,0,0
"249","EQUALITY ILLINOIS",2018,11175,"ILLINOIS DEMOCRATIC PARTY",1000,2500,0.223713646532438
"250","EQUALITY ILLINOIS",2018,11175,"ILLINOIS SENATE DEMOCRATIC VICTORY FUND",1000,2500,0.223713646532438
"251","EQUALITY ILLINOIS",2018,11175,"HOUSE DEMOCRATIC MAJORITY OF ILLINOIS",500,2500,0.223713646532438
"252","EQUALITY ILLINOIS",2016,42000,"ILLINOIS SENATE DEMOCRATIC VICTORY FUND",6000,12000,0.285714285714286
"253","EQUALITY ILLINOIS",2016,42000,"HOUSE DEMOCRATIC MAJORITY OF ILLINOIS",6000,12000,0.285714285714286
"254","EQUALITY ILLINOIS",2015,2500,"ILLINOIS SENATE DEMOCRATIC VICTORY FUND",250,500,0.2
"255","EQUALITY ILLINOIS",2015,2500,"HOUSE DEMOCRATIC MAJORITY OF ILLINOIS",250,500,0.2
"256","EQUALITY ILLINOIS",2014,163304.41,"0",0,0,0
"257","EQUALITY ILLINOIS",2012,93723,"0",0,0,0
"258","EQUALITY ILLINOIS",2011,4000,"0",0,0,0
"259","EQUALITY ILLINOIS",2010,46554.84,"ILLINOIS SENATE DEMOCRATIC VICTORY FUND",500,500,0.0107400218752766
"260","EQUALITY ILLINOIS",2008,16900,"0",0,0,0
"261","EQUALITY MAINE",2018,1900,"MAINE DEMOCRATIC PARTY",300,300,0.157894736842105
"262","EQUALITY MAINE",2014,3500,"MAINE DEMOCRATIC PARTY",500,500,0.142857142857143
"263","EQUALITY MAINE",2013,500,"SENATE DEMOCRATIC CAMPAIGN CMTE OF MAINE",500,500,1
"264","EQUALITY MAINE",2012,299993.12,"HOUSE DEMOCRATIC CAMPAIGN CMTE OF MAINE",2500,4000,0.0133336391181238
"265","EQUALITY MAINE",2012,299993.12,"SENATE DEMOCRATIC CAMPAIGN CMTE OF MAINE",1500,4000,0.0133336391181238
"266","EQUALITY MAINE",2011,15685.77,"SENATE DEMOCRATIC CAMPAIGN CMTE OF MAINE",1000,2000,0.127504100850644
"267","EQUALITY MAINE",2011,15685.77,"HOUSE DEMOCRATIC CAMPAIGN CMTE OF MAINE",1000,2000,0.127504100850644
"268","EQUALITY MAINE",2010,26150,"SENATE DEMOCRATIC CAMPAIGN CMTE OF MAINE",15000,25650,0.980879541108987
"269","EQUALITY MAINE",2010,26150,"HOUSE DEMOCRATIC CAMPAIGN CMTE OF MAINE",10000,25650,0.980879541108987
"270","EQUALITY MAINE",2010,26150,"MAINE DEMOCRATIC PARTY",650,25650,0.980879541108987
"271","EQUALITY MAINE",2009,131925,"MAINE DEMOCRATIC PARTY",2300,3300,0.0250142126208073
"272","EQUALITY MAINE",2009,131925,"HOUSE DEMOCRATIC CAMPAIGN CMTE OF MAINE",1000,3300,0.0250142126208073
"273","EQUALITY MAINE",2008,5475,"MAINE DEMOCRATIC PARTY",475,475,0.0867579908675799
"274","EQUALITY MARYLAND",2014,10030.85,"0",0,0,0
"275","EQUALITY MARYLAND",2012,146518,"0",0,0,0
